"","harass5","emailmin","emailhr","educ","polviews","advfront","snapchat","instagrm","wrkstat"
"169","Yes",NA,NA,12,"Moderate",NA,"No","No","Working fulltime"
"170","No",NA,NA,14,"Slghtly conservative",NA,NA,NA,"Retired"
"171","No",0,1,11,"Moderate",NA,"Yes","Yes","Working parttime"
"172","No",NA,NA,14,"Slightly liberal",NA,"Yes","Yes","Working fulltime"
"173",NA,15,0,12,NA,"Strongly agree","No","No","Working parttime"
"174","No",NA,NA,20,"Moderate",NA,"No","No","Working fulltime"
"175","Yes",0,1,14,"Slightly liberal",NA,"No","Yes","Temp not working"
"176",NA,0,30,14,"Moderate","Disagree",NA,NA,"Working fulltime"
"177",NA,0,20,16,"Extremely liberal","Strongly agree",NA,NA,"Working parttime"
"178","No",NA,NA,18,"Moderate",NA,"No","No","Keeping house"
"179","Yes",NA,NA,14,"Slghtly conservative",NA,"No","No","Working parttime"
"180",NA,0,1,12,"Moderate","Agree",NA,NA,"Working parttime"
"181","Does not apply (i do not have a job/superior/co-worker)",NA,NA,16,"Conservative",NA,"No","No","Retired"
"182",NA,0,1,14,"Liberal","Agree",NA,NA,"Other"
"183","Does not apply (i do not have a job/superior/co-worker)",NA,NA,17,"Extrmly conservative",NA,NA,NA,"Retired"
"184",NA,0,1,12,"Extrmly conservative","Agree","Yes","Yes","Keeping house"
"185","Yes",NA,NA,16,"Moderate",NA,"No","No","Working fulltime"
"186","No",0,1,13,"Conservative",NA,"Yes","Yes","School"
"187","No",NA,NA,18,"Slightly liberal",NA,"No","No","Retired"
"188",NA,0,8,12,"Extremely liberal","Strongly agree",NA,NA,"Working fulltime"
"189",NA,0,0,8,"Slghtly conservative","Dont know",NA,NA,"Keeping house"
"190","No",NA,NA,1,"Moderate",NA,NA,NA,"Keeping house"
"191","Yes",NA,NA,14,"Moderate",NA,"No","Yes","Unempl, laid off"
"192",NA,0,0,9,"Moderate","Agree",NA,NA,"Working fulltime"
"193","No",NA,NA,2,"Conservative",NA,NA,NA,"Working parttime"
"194",NA,0,1,8,"Moderate","Agree",NA,NA,"Working fulltime"
"195",NA,0,4,9,"Moderate","Agree",NA,NA,"Working fulltime"
"196","No",0,25,14,"Liberal",NA,"No","No","Working fulltime"
"197","Does not apply (i do not have a job/superior/co-worker)",NA,NA,13,"Conservative",NA,NA,NA,"Retired"
"198",NA,0,4,16,"Slghtly conservative","Strongly agree",NA,NA,"Working fulltime"
"199",NA,0,1,15,"Moderate","Agree",NA,NA,"Working parttime"
"200",NA,0,12,16,"Moderate","Strongly agree",NA,NA,"Working fulltime"
"201",NA,0,42,15,"Slghtly conservative","Strongly agree",NA,NA,"Working fulltime"
"202","No",0,2,12,"Moderate",NA,"No","Yes","Working fulltime"
"203","No",0,5,16,"Moderate",NA,"No","No","Working fulltime"
"204",NA,0,10,16,"Slightly liberal","Disagree","No","Yes","Working fulltime"
"205","Yes",NA,NA,16,"Slightly liberal",NA,"No","Yes","Working fulltime"
"206","No",0,5,20,"Liberal",NA,"No","No","Working parttime"
"207",NA,0,10,16,"Moderate","Strongly agree",NA,NA,"Working fulltime"
"208","Does not apply (i do not have a job/superior/co-worker)",NA,NA,11,"Moderate",NA,NA,NA,"Keeping house"
"209",NA,30,0,14,"Moderate","Agree","Yes","Yes","Working parttime"
"210",NA,0,4,20,"Slghtly conservative","Strongly agree",NA,NA,"Unempl, laid off"
"211","No",0,12,12,NA,NA,"No","Yes","Working fulltime"
"212",NA,0,2,15,"Slghtly conservative","Strongly agree",NA,NA,"School"
"213",NA,20,0,12,"Moderate","Strongly agree",NA,NA,"Working parttime"
"214","No",NA,NA,16,"Moderate",NA,"No","No","Keeping house"
"215","No",0,2,19,"Slghtly conservative",NA,"No","Yes","Retired"
"216","Does not apply (i do not have a job/superior/co-worker)",NA,NA,12,"Moderate",NA,"Yes","No","Retired"
"217",NA,0,1,16,"Moderate","Agree","Yes","Yes","Working fulltime"
"218",NA,0,0,12,"Moderate","Agree",NA,NA,"Working fulltime"
"219",NA,0,8,13,"Liberal","Agree",NA,NA,"Working fulltime"
"220","No",NA,NA,16,"Liberal",NA,"Yes","Yes","Working fulltime"
"221",NA,NA,NA,12,NA,"Dont know","No","Yes","School"
"222","No",NA,NA,6,"Extrmly conservative",NA,NA,NA,"Working fulltime"
"223","No",NA,NA,17,"Liberal",NA,"Yes","Yes","Working fulltime"
"224","No",NA,NA,18,"Slghtly conservative",NA,"No","No","Working fulltime"
"225","No",0,8,14,"Extrmly conservative",NA,"Yes","Yes","Working parttime"
"226",NA,0,5,12,"Moderate","Agree",NA,NA,"Working fulltime"
"227","No",NA,NA,17,"Slightly liberal",NA,"No","No","Working fulltime"
"228",NA,0,5,16,"Moderate","Agree","No","No","Working fulltime"
"229","No",NA,NA,18,"Moderate",NA,"Yes","Yes","Working fulltime"
"230","No",0,5,16,"Conservative",NA,NA,NA,"Retired"
"231",NA,0,2,12,"Conservative","Agree",NA,NA,"Retired"
"232","No",NA,NA,16,"Moderate",NA,"No","Yes","Retired"
"233",NA,0,8,18,"Conservative","Agree","No","No","Working fulltime"
"234","No",NA,NA,19,"Slghtly conservative",NA,"No","No","Retired"
"235","No",0,2,16,"Slghtly conservative",NA,"Yes","Yes","Working parttime"
"236",NA,0,20,19,"Conservative","Agree",NA,NA,"Working fulltime"
"237","No",NA,NA,18,"Conservative",NA,NA,NA,"Working parttime"
"238","No",NA,NA,12,"Conservative",NA,"No","Yes","Working fulltime"
"239",NA,0,1,16,"Liberal","Strongly agree",NA,NA,"Working fulltime"
"240",NA,2,0,12,"Slghtly conservative","Dont know","No","No","Working fulltime"
"241","No",10,0,12,"Slghtly conservative",NA,"No","No","Working fulltime"
"242",NA,10,0,14,"Slightly liberal","Strongly agree",NA,NA,"Working fulltime"
"243",NA,0,0,7,"Liberal","Dont know",NA,NA,"Working fulltime"
"244","Yes",0,1,12,"Conservative",NA,"No","No","Working fulltime"
"245",NA,0,7,12,"Moderate","Agree",NA,NA,"Keeping house"
"246",NA,0,1,17,"Liberal","Strongly agree",NA,NA,"Unempl, laid off"
"247","No",NA,NA,13,"Moderate",NA,"No","Yes","Keeping house"
"248","No",0,10,15,"Moderate",NA,"No","No","Working fulltime"
"249",NA,0,20,12,NA,"Disagree","No","Yes","Working fulltime"
"250","No",NA,NA,16,"Conservative",NA,"Yes","Yes","Working fulltime"
"251","No",0,8,20,"Slghtly conservative",NA,"No","No","Working fulltime"
"252","No",0,1,14,"Liberal",NA,"No","No","Working fulltime"
"253","Yes",NA,NA,18,"Moderate",NA,"No","No","Working parttime"
"254",NA,0,2,12,"Slghtly conservative","Agree","Yes","Yes","Working fulltime"
"255","No",NA,NA,12,"Moderate",NA,NA,NA,"School"
"256","No",0,2,12,"Slightly liberal",NA,"Yes","No","Temp not working"
"257",NA,0,2,16,"Moderate","Agree",NA,NA,"Working fulltime"
"258",NA,0,1,13,"Slightly liberal","Strongly agree",NA,NA,"Retired"
"259","Yes",NA,NA,20,"Conservative",NA,"No","Yes","Working fulltime"
"260",NA,0,90,14,"Moderate","Agree",NA,NA,"Working fulltime"
"261",NA,0,10,20,"Extremely liberal","Strongly agree",NA,NA,"Temp not working"
"262","No",NA,NA,13,"Slghtly conservative",NA,"Yes","Yes","Working fulltime"
"263","No",0,2,12,"Moderate",NA,"No","Yes","Working fulltime"
"264",NA,0,75,13,"Liberal","Agree",NA,NA,"Unempl, laid off"
"265",NA,0,5,17,"Slghtly conservative","Agree","Yes","Yes","Working parttime"
"266","Yes",0,1,16,"Moderate",NA,"No","Yes","Working parttime"
"267",NA,0,1,12,"Extremely liberal","Strongly agree",NA,NA,"Unempl, laid off"
"268",NA,0,0,13,NA,"Agree","No","No","Retired"
"269","No",NA,NA,11,"Moderate",NA,"No","No","Working fulltime"
"270","Does not apply (i do not have a job/superior/co-worker)",10,0,18,"Extremely liberal",NA,"No","No","Retired"
"271","No",NA,NA,18,"Moderate",NA,"No","No","Keeping house"
"272",NA,0,5,16,"Moderate","Agree","No","Yes","Working parttime"
"273",NA,0,1,16,"Slightly liberal","Agree",NA,NA,"Retired"
"274","No",0,25,16,"Slghtly conservative",NA,"No","Yes","Working fulltime"
"275",NA,0,6,13,"Moderate","Agree",NA,NA,"Retired"
"276","No",NA,NA,15,"Moderate",NA,"Yes","Yes","Working fulltime"
"277",NA,40,1,20,"Extremely liberal","Strongly agree",NA,NA,"Working fulltime"
"278","Yes",NA,NA,16,"Extrmly conservative",NA,"No","No","Working fulltime"
"279","Yes",0,10,14,"Slightly liberal",NA,NA,NA,"Working fulltime"
"280",NA,0,8,10,"Moderate","Agree","Yes","Yes","Working fulltime"
"281",NA,0,2,9,"Slightly liberal","Agree",NA,NA,"Keeping house"
"282",NA,0,1,14,"Moderate","Agree",NA,NA,"Unempl, laid off"
"283","Does not apply (i do not have a job/superior/co-worker)",NA,NA,12,"Moderate",NA,NA,NA,"Keeping house"
"284",NA,0,10,13,"Moderate","Agree",NA,NA,"Working fulltime"
"285",NA,0,0,12,"Conservative","Agree",NA,NA,"Retired"
"286","No",NA,NA,14,"Slghtly conservative",NA,"No","No","Working fulltime"
"287","No",0,3,14,"Extremely liberal",NA,"No","Yes","Working fulltime"
"288","No",NA,NA,14,"Extremely liberal",NA,"No","No","Working fulltime"
"289",NA,0,2,12,"Conservative","Agree",NA,NA,"Working fulltime"
"290",NA,0,10,17,"Liberal","Agree",NA,NA,"Working fulltime"
"291",NA,0,20,19,"Liberal","Strongly agree","No","No","Working fulltime"
"292","No",0,22,16,"Slightly liberal",NA,"No","No","Working fulltime"
"293",NA,0,20,19,"Moderate","Strongly agree",NA,NA,"Working fulltime"
"294",NA,0,3,11,"Moderate","Agree",NA,NA,"Retired"
"295","No",NA,NA,12,"Slghtly conservative",NA,NA,NA,"Working fulltime"
"296","No",0,0,12,"Conservative",NA,"No","No","Working parttime"
"297",NA,0,1,19,"Extremely liberal","Strongly agree",NA,NA,"Unempl, laid off"
"298","No",NA,NA,16,"Slightly liberal",NA,"No","Yes","Keeping house"
"299",NA,0,20,16,"Liberal","Strongly agree",NA,NA,"Working fulltime"
"300","No",0,3,17,"Moderate",NA,"No","Yes","Working fulltime"
"301",NA,0,3,13,"Moderate","Agree",NA,NA,"Keeping house"
"302","No",NA,NA,9,"Moderate",NA,"No","No","Keeping house"
"303","No",0,1,13,"Moderate",NA,NA,NA,"Keeping house"
"304",NA,0,0,13,"Extrmly conservative","Disagree",NA,NA,"Working fulltime"
"305",NA,0,50,14,"Moderate","Agree",NA,NA,"Working fulltime"
"306",NA,0,10,19,"Moderate","Strongly agree",NA,NA,"Working fulltime"
"307",NA,20,0,12,"Moderate","Agree","Yes","No","Keeping house"
"308","No",0,2,10,"Liberal",NA,NA,NA,"Working fulltime"
"309",NA,0,3,16,"Slightly liberal","Strongly agree",NA,NA,"Working fulltime"
"310",NA,15,0,13,"Moderate","Agree","No","Yes","Unempl, laid off"
"311","No",0,50,20,"Liberal",NA,"No","No","Working fulltime"
"312","No",0,3,16,"Moderate",NA,"No","No","Retired"
"313","No",NA,NA,12,"Slightly liberal",NA,"No","No","Working fulltime"
"314",NA,0,5,16,"Moderate","Agree","No","No","Working fulltime"
"315","No",NA,NA,16,"Liberal",NA,NA,NA,"Retired"
"316","No",0,12,15,"Slightly liberal",NA,"No","No","Working fulltime"
"317",NA,0,15,12,"Moderate","Disagree",NA,NA,"Working fulltime"
"318","No",0,2,12,"Slightly liberal",NA,"No","No","Working fulltime"
"319",NA,0,0,12,"Moderate","Agree",NA,NA,"Working parttime"
"320",NA,0,2,16,"Liberal","Agree",NA,NA,"Retired"
"321","Yes",NA,NA,8,"Extremely liberal",NA,"Yes","No","Keeping house"
"322","No",0,12,18,"Conservative",NA,"No","No","Temp not working"
"323",NA,0,15,14,"Moderate","Agree",NA,NA,"Retired"
"324",NA,0,0,14,"Extrmly conservative","Strongly agree",NA,NA,"Retired"
"325","Yes",NA,NA,12,"Slghtly conservative",NA,"No","No","Keeping house"
"326",NA,0,0,12,"Moderate","Agree",NA,NA,"Retired"
"327","No",NA,NA,12,"Slghtly conservative",NA,"No","Yes","Working fulltime"
"328",NA,0,0,12,"Moderate","Agree",NA,NA,"Working parttime"
"329",NA,0,15,16,"Slightly liberal","Disagree",NA,NA,"Working fulltime"
"330",NA,0,15,16,"Slghtly conservative","Disagree",NA,NA,"Working fulltime"
"331","No",NA,NA,12,"Slghtly conservative",NA,"No","No","Retired"
"332",NA,0,10,16,"Slghtly conservative","Agree",NA,NA,"Working fulltime"
"333","No",0,3,15,"Slghtly conservative",NA,"Yes","Yes","Working fulltime"
"334",NA,0,1,13,NA,"Disagree",NA,NA,"Working fulltime"
"335","No",NA,NA,9,"Moderate",NA,NA,NA,"Working fulltime"
"336",NA,0,8,16,"Slghtly conservative","Agree","No","Yes","Working fulltime"
"337","No",NA,NA,17,"Conservative",NA,"No","No","Working fulltime"
"338",NA,5,0,18,"Moderate","Disagree","No","No","Working fulltime"
"339",NA,0,1,16,"Conservative","Agree",NA,NA,"Retired"
"340","No",10,0,14,"Moderate",NA,"Yes","Yes","School"
"341","No",NA,NA,18,"Moderate",NA,"No","No","Working fulltime"
"342",NA,30,0,12,"Slightly liberal","Agree","No","No","Working parttime"
"343","No",NA,NA,18,"Conservative",NA,"No","No","Working fulltime"
"344","Yes",0,3,16,"Slightly liberal",NA,NA,NA,"Working parttime"
"345","Yes",NA,NA,16,"Slghtly conservative",NA,NA,NA,"Working fulltime"
"346",NA,0,2,19,"Moderate","Agree","No","No","Working fulltime"
"347","No",0,2,20,"Liberal",NA,"Yes","Yes","Working fulltime"
"348",NA,0,40,15,"Moderate","Agree",NA,NA,"Working fulltime"
"349",NA,0,3,12,"Moderate","Disagree",NA,NA,"Working fulltime"
"350",NA,59,0,12,"Moderate","Disagree",NA,NA,"Working fulltime"
"351","No",NA,NA,14,"Slightly liberal",NA,"No","Yes","Working parttime"
"352",NA,1,0,18,"Liberal","Strongly agree",NA,NA,"Keeping house"
"353",NA,0,12,12,"Moderate","Agree","No","No","Working fulltime"
"354",NA,0,10,12,"Extrmly conservative","Disagree",NA,NA,"Working fulltime"
"355","Does not apply (i do not have a job/superior/co-worker)",NA,NA,13,"Liberal",NA,"No","No","Keeping house"
"356","No",NA,NA,19,"Moderate",NA,"No","Yes","Working fulltime"
"357","No",NA,NA,16,"Slghtly conservative",NA,"No","No","Working parttime"
"358","No",0,12,16,"Moderate",NA,"No","No","Working fulltime"
"359","No",NA,NA,14,"Moderate",NA,"No","Yes","Working fulltime"
"360",NA,0,25,13,"Slghtly conservative","Agree",NA,NA,"Working fulltime"
"361","Yes",NA,NA,16,"Moderate",NA,"No","No","Working fulltime"
"362","Yes",0,24,12,"Moderate",NA,"No","No","Working fulltime"
"363",NA,30,0,16,NA,"Strongly agree",NA,NA,"Retired"
"364","No",NA,NA,12,"Moderate",NA,"No","No","Working fulltime"
"365",NA,0,32,18,"Moderate","Strongly agree",NA,NA,"Working fulltime"
"366","No",0,10,12,"Conservative",NA,"No","No","Working fulltime"
"367",NA,NA,NA,9,"Slightly liberal","Agree",NA,NA,"Other"
